input,output
"As the social media manager for 'amc' (Twitter: @AMCTheatres), create a tweet using the following keywords: ['movie', 'show', 'word', 'show']. Craft a message that aligns with our brand and is likely to receive at least 48 likes.","It's been called one of the best war movies of all time. And now <mention> is available to watch at home with #AMCTheatresOnDemand.  

Rent or Buy Today:  <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['logo', 'e', 'tranzact']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",eTranzact Explains Delay In Submission Of 2019 Financial Statement <hyperlink> <hyperlink>
"As the social media manager for 'independent' (Twitter: @Independent), create a tweet using the following keywords: ['michael', 'jordan', 'speech', 'memorial', 'service', 'son']. Craft a message that aligns with our brand and is likely to receive at least 53 likes.",Michael Jordan gives tearful speech at Kobe Bryant memorial #KobeFarewell  <hyperlink> <hyperlink>
"As the social media manager for 'cisco' (Twitter: @CiscoANZ), create a tweet using the following keywords: ['innovation', 'remove', 'tooth', 'roadblock', 'remove']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Sure, you can choose the most powerful servers, the fastest switches and the most sophisticated applications, but how do you bring them all together? With Cisco Customer Experience. <hyperlink> #CLUS #CiscoCX <hyperlink>"
"As the social media manager for 'pepsico' (Twitter: @PepsiCoAMESA), create a tweet using the following keywords: ['variety', 'snack', 'drink', 'lay', 'table', 'lay']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.",Just the perfect company for a party! #TGIF <hyperlink>
"As the social media manager for 'toyota' (Twitter: @ToyotaSportsCtr), create a tweet using the following keywords: ['free', 'zoom', 'session']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","This weekend! You need a small area, a dry land stick, 3 pucks/balls and good attitude! Code: 230 248 3486 <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['woman', 'smile', 'hold', 'microphone', 'smile', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 560 likes.","Democrats rebuilt their ""blue wall"" in Michigan, Pennsylvania and Wisconsin. It's a big deal for 2020. <hyperlink> <hyperlink>"
"As the social media manager for 'tim hortons' (Twitter: @TimHortonsPH), create a tweet using the following keywords: ['sweet', 'treat', 'mom']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.","As a thank you to all moms, we’re cooking up something very sweet. Stay tuned! <hyperlink>"
"As the social media manager for 'cbc' (Twitter: @CBCOttawa), create a tweet using the following keywords: ['woman', 'stand', 'microphone', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 151 likes.",Sandra Oh shows her Canadian pride hosting Saturday Night Live <hyperlink> #ottnews #ottawa <hyperlink>
"As the social media manager for 'cbc' (Twitter: @CBCNB), create a tweet using the following keywords: ['police', 'car', 'park', 'road', 'park']. Craft a message that aligns with our brand and is likely to receive at least 61 likes.",Saint John police officer talks suicidal woman off ledge from 1300 kms away: <hyperlink> <hyperlink>
"As the social media manager for 'toyota' (Twitter: @CheetahsRugby), create a tweet using the following keywords: ['toyota', 'free', 'state', 'cheetah', 'vs', 'lion']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.","Team Announcement 📣
1 hour till kick off

🗓 2 August
⏰ 19:15
📍 Toyota Stadium 

#CurrieCupReloaded 
#CHEvLIO <hyperlink>"
"As the social media manager for 'microsoft' (Twitter: @VisualStudio), create a tweet using the following keywords: ['visual', 'studio', 'nintendo', 'switch']. Craft a message that aligns with our brand and is likely to receive at least 113 likes.","#VisualStudio for Nintendo Switch? If there was such a thing, <mention> thinks he's found it in the coding app FUZE4 Nintendo Switch. Read his review: <hyperlink> <hyperlink>"
"As the social media manager for 'mcafee' (Twitter: @McAfee), create a tweet using the following keywords: ['easy', 'step', 'successful', 'secure', 'signup']. Craft a message that aligns with our brand and is likely to receive at least 4 likes.","If you know what to look for, you can outsmart those pesky tech support scammers. Use this how-to guide. <hyperlink> <hyperlink>"
"As the social media manager for 'avon' (Twitter: @AvonFireRescue), create a tweet using the following keywords: ['dog', 'wear', 'shoe', 'harness', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 72 likes.","🐾 BOOTIES! 🐶😍 Meet Buddy, a Springer Spaniel Cross, and Sally, a Labrador. Both are part of the Service’s Urban Search &amp; Rescue team at <mention> and will be taking their exams in March to become operational. #dogsoftwitter <hyperlink>"
"As the social media manager for 'williams' (Twitter: @WilliamsEsports), create a tweet using the following keywords: ['race', 'simulator', 'middle', 'room', 'race']. Craft a message that aligns with our brand and is likely to receive at least 131 likes.","Wow! It seems that our new #Esports lounge will be ready very soon! 👀💪

#SimRacing #WilliamsEsports <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['woman', 'blonde', 'hair', 'striped', 'shirt']. Craft a message that aligns with our brand and is likely to receive at least 668 likes.","Some Pittsburgh polling stations handed out ""Stronger Than Hate"" voting stickers that reflected the mood of a grieving and healing city <hyperlink> <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @CiscoCX), create a tweet using the following keywords: ['man', 'stand', 'move', 'train', 'stand', 'move']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Start realizing the benefits of a network that predicts, adapts, and protects your business… <hyperlink> <hyperlink>"
"As the social media manager for 'williams' (Twitter: @brionymaybakes), create a tweet using the following keywords: ['woman', 'sit', 'table', 'large', 'screen', 'sit']. Craft a message that aligns with our brand and is likely to receive at least 299 likes.",I've had such a lush day 💕 Topped off with the lovely <mention> letting me pretend to be a news reader on <mention> 😁 Thanks for having me! #lovedit <hyperlink>
"As the social media manager for 'emerson' (Twitter: @SmallBizLady), create a tweet using the following keywords: ['woman', 'business', 'suit', 'necklace']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.","Join us on #Smallbizchat at 8:00 pm est. – Our topic:  'How to Address #MeToo Issues in Your Business', 
Deb Muller is the founder and CEO of HR Acuity, the employee relations case management solution. 
<hyperlink>
<mention>
#smallbusiness <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @CiscoSecure), create a tweet using the following keywords: ['man', 'stand', 'rack', 'server', 'word', 'cisco', 'secure', 'secure', 'agility', 'stand', 'secure']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.",Looking to secure your remote workforce? Learn how New Castle Hotels and Resorts enabled remote work for its employees using an integrated security approach. <hyperlink> <hyperlink>
"As the social media manager for 'hudson' (Twitter: @HudsonTaylor), create a tweet using the following keywords: ['man', 'sit', 'step', 'house', 'sit']. Craft a message that aligns with our brand and is likely to receive at least 132 likes.","Hello there! Just a quick message to say THANK YOU so much for all the love shown for our new EP. If you haven't heard it yet have a listen here at this link:
<hyperlink>
Lots of love, H&amp;A x <hyperlink>"
"As the social media manager for 'amc' (Twitter: @AMCtvUK), create a tweet using the following keywords: ['man', 'wear', 'blue', 'shirt', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Me &amp; my housemates refusing to shave and finally forming a stay at home band! 🥁 🎸 <hyperlink>
"As the social media manager for 'microsoft' (Twitter: @VisualStudio), create a tweet using the following keywords: ['jnet', 'design', 'review', 'ghitub', 'quick', 'review']. Craft a message that aligns with our brand and is likely to receive at least 54 likes.",Didn't get a chance to watch the #dotNET Design Review: GitHub Quick Reviews live stream? Watch it here and get a preview of the coming changes: <hyperlink> <hyperlink>
"As the social media manager for 'williams' (Twitter: @brionymaybakes), create a tweet using the following keywords: ['brony', 'espresso', 'martini', 'madeline']. Craft a message that aligns with our brand and is likely to receive at least 304 likes.","Morning all, my Espresso Martini Madeleine recipe is on the GBBO app and website if you fancy trying them at home. I do warn you though, they are very moreish!! Let me know if you do them 🍸I'd love to know what you think! #GBBO #PatisserieWeek <hyperlink>"
"As the social media manager for 'avon' (Twitter: @AvonInsider), create a tweet using the following keywords: ['avon', 'glow', 'dark', 'zodiac', 'collection']. Craft a message that aligns with our brand and is likely to receive at least 47 likes.",You're positively #glowing!✨ Which one matches your #zodiac sign? #BrilliantlyAvon <hyperlink>
"As the social media manager for 'williams' (Twitter: @Williams_Justin), create a tweet using the following keywords: ['text', 'message', 'man', 'write', 'experience', 'write']. Craft a message that aligns with our brand and is likely to receive at least 354 likes.",Luke Fickell on the decision to continue the game during the weather delay. #Bearcats <hyperlink>
"As the social media manager for 'cbc' (Twitter: @CBCNS), create a tweet using the following keywords: ['man', 'dress', 'pirate', 'costume', 'hold', 'book', 'dress', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 125 likes.",UPDATED: Halifax's new town crier to raise his voice for others with Down syndrome <hyperlink> <hyperlink>
"As the social media manager for 'hsbc' (Twitter: @HSBC_Sport), create a tweet using the following keywords: ['fiji', 'fan', 'cheer', 'team', 'rugby', 'world', 'cup', 'final']. Craft a message that aligns with our brand and is likely to receive at least 102 likes.","Sing when you're winning. 🇫🇯🎶

#HK7s <hyperlink>"
"As the social media manager for 'metlife' (Twitter: @MetLife), create a tweet using the following keywords: ['woman', 'look', 'pair', 'glass', 'pharmacy', 'look']. Craft a message that aligns with our brand and is likely to receive at least 6 likes.","Is an HSA or FSA better for you &amp; your family? We breakdown these terms so that you can make the most of your #benefits &amp; reach your financial goals. #OpenEnrollment 
<hyperlink> <hyperlink>"
"As the social media manager for 'padi' (Twitter: @PADI), create a tweet using the following keywords: ['people', 'stand', 'ocean', 'trash', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 59 likes.",It's officially the start of AWARE Week 2019! Shout out to everyone who will be taking action to help protect our ocean with <mention> 💙 <hyperlink>
"As the social media manager for 'amazon' (Twitter: @awscloud), create a tweet using the following keywords: ['large', 'crowd', 'people', 'event']. Craft a message that aligns with our brand and is likely to receive at least 375 likes.",#AWSDeepRacer has a seat at the table of this year’s #NeurlPS2019 AI Driving Olympics hosted by <mention>! The DeepRacer Sim2Real racing challenge is live &amp; running. Here’s how to register: <hyperlink> <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'wear', 'glass', 'red', 'hat', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","You Have 24 Hours To Reveal Position On Amotekun, Group Warns Tinubu <hyperlink> <hyperlink>"
"As the social media manager for 'icici bank' (Twitter: @ICICIBank), create a tweet using the following keywords: ['beware', 'online', 'fraudster', 'try', 'capture', 'personal', 'detail', 'beware', 'try', 'capture']. Craft a message that aligns with our brand and is likely to receive at least 8 likes.",Do not make financial transactions on websites you are unsure of. Practice #SafeBanking at all times with #ICICIBank. #iPledgeSafeBanking. Learn more on: <hyperlink> <hyperlink>
"As the social media manager for 'cisco' (Twitter: @WebexAhead), create a tweet using the following keywords: ['evolution', 'innovation', 'growth']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",More than 80% of executives surveyed view #AI as a strategic opportunity - MIT Sloan Management Review. #AI is ushering in the next wave of #DigitalTransformation via rapid growth and innovation. <hyperlink> <hyperlink>
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['senate', 'majority', 'leader', 'harry', 'reid', 'd', 'nevada', 'speak', 'reporter', 'speak']. Craft a message that aligns with our brand and is likely to receive at least 820 likes.","Former Senate Majority Leader Harry Reid says President Trump is an ""amoral"" person and says he's ""the worst President we've ever had"" <hyperlink> <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @CiscoCloud), create a tweet using the following keywords: ['netdevop', 'battery', 'pipeline', 'include', 'cisco', 'nso', 'ar', 'include']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",Next week Cisco's <mention> and <mention> will be speaking at #AnsibleFest in Austin. Learn more about Cisco #NSO and #Ansible together <mention> <hyperlink> <hyperlink>
"As the social media manager for 'cnn' (Twitter: @cnnbrk), create a tweet using the following keywords: ['jeffrey', 'epstein', 'death', 'raise', 'question', 'suicide', 'raise']. Craft a message that aligns with our brand and is likely to receive at least 661 likes.","The Justice Department's inspector general is opening an investigation into the circumstances surrounding the death of financier and accused sex trafficker Jeffrey Epstein, Attorney General William Barr announced <hyperlink> <hyperlink>"
"As the social media manager for 'mcafee' (Twitter: @McAfee), create a tweet using the following keywords: ['mppower', 'break', 'session', 'scc', 'get', 'security', 'operation', 'ready', 'future', 'scc', 'get']. Craft a message that aligns with our brand and is likely to receive at least 4 likes.",Learn about the future of the #SOC and get your security infrastructure ready for 2020 by attending our #MPOWER19 session in 20 minutes on level 3. <hyperlink>
"As the social media manager for 'microsoft' (Twitter: @MicrosoftEDU), create a tweet using the following keywords: ['save', 'date', 'hack', 'classroom', 'save', 'hack']. Craft a message that aligns with our brand and is likely to receive at least 91 likes.",#HacktheClassroom will be at #ISTE19 and you can catch all the action on Facebook Live on June 25th! Save the date and get excited to hear from innovative educators and #edtech leaders on topics that matter most to you and your students. <hyperlink> #MicrosoftEDU <hyperlink>
"As the social media manager for 'cisco' (Twitter: @CiscoPartners), create a tweet using the following keywords: ['seo', 'trend', 'challenge', 'google', 'search', 'challenge', 'get']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.",Haven't updated your #website with #SEO best practices in a while? 📝 It's probably out of date then! <mention> has the SEO Trends for 2020 you have to implement: <hyperlink> <hyperlink>
"As the social media manager for 'samsung' (Twitter: @SamsungIndia), create a tweet using the following keywords: ['samsung', 'galaxy', 'white']. Craft a message that aligns with our brand and is likely to receive at least 240 likes.","#GalaxyS10Lite looks stunning from every angle. Available at ₹36999/-* on Flipkart, Samsung India or leading retail stores. *Includes instant cashback of ₹3000/- with ICICI Bank Credit Cards. Visit <hyperlink> or <hyperlink> <hyperlink>"
"As the social media manager for 'emerson' (Twitter: @EmersonBarrett), create a tweet using the following keywords: ['black', 'white', 'folded', 'card', 'city']. Craft a message that aligns with our brand and is likely to receive at least 624 likes.",Preorder ends on the 13th for the Binders and Folders. <hyperlink> (Instagram giveaway winner will be revealed before then) x <hyperlink>
"As the social media manager for 'toyota' (Twitter: @CheetahsRugby), create a tweet using the following keywords: ['try', 'time', 'rugby', 'union', 'try']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.","40' | Joseph Dweba scores just before halftime! CONV is good by Schoeman.

<mention> 12 vs.
<mention> 26

#CurrieCupReloaded <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @CiscoANZ), create a tweet using the following keywords: ['flyer', 'innovation', 'talk', 'blue', 'background']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.","Learn about Cisco's intent-based #datacentre strategy at 2:45pm. If you're not at #CLMel, you can still enjoy the session via Cisco live broadcasts: <hyperlink> #CLMel <hyperlink>"
"As the social media manager for 'hudson' (Twitter: @sixftfiiiiive), create a tweet using the following keywords: ['wrestler', 'ring', 'arm']. Craft a message that aligns with our brand and is likely to receive at least 148 likes.","“My wife said you’re thic af.” Is my favourite quote from tonight.
#NXTSanford <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['group', 'people', 'red', 'white', 'clothing']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",Warri Monarch Counsels Inner Wheel Club Members On Breast-Feeding Of Babies <hyperlink> <hyperlink>
"As the social media manager for 'cisco' (Twitter: @CiscoCollab), create a tweet using the following keywords: ['collaboration', 'way', 'want', 'work', 'want', 'work']. Craft a message that aligns with our brand and is likely to receive at least 4 likes.",Collaboration for the way you want to work. An app for every user – A device for every space &amp; use. – <mention> #CiscoLiveLA #Workplace Transformation More info: <hyperlink> <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'blue', 'white', 'outfit', 'sit', 'couch', 'sit']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",We Will Provide Legislative Intervention To Support Govt Efforts – Lawan <hyperlink> <hyperlink>
"As the social media manager for 'cnn' (Twitter: @cnnbrk), create a tweet using the following keywords: ['cnn', 'break', 'news', 'logo', 'break']. Craft a message that aligns with our brand and is likely to receive at least 1454 likes.",Al Qaeda affiliate al-Shabaab has claimed responsibility for an attack on a US base in Kenya on Sunday morning  <hyperlink> <hyperlink>
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['group', 'people', 'wear', 'winter', 'jacket', 'hat', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 981 likes.",Athletes from North and South Korea took a selfie together before entering the Olympic stadium and marching under a unified flag at the Winter Olympics opening ceremony <hyperlink> #PyeongChang2018 #OpeningCeremony <hyperlink>
"As the social media manager for 'stryker' (Twitter: @sbstryker), create a tweet using the following keywords: ['lady', 'gaga', 'meet', 'gala', 'meet']. Craft a message that aligns with our brand and is likely to receive at least 6242 likes.",Lady Gaga really had the best Met Gala entrance of all time <hyperlink>
"As the social media manager for 'microsoft' (Twitter: @MSCloud), create a tweet using the following keywords: ['empower', 'future', 'creativity', 'content', 'experience', 'empower']. Craft a message that aligns with our brand and is likely to receive at least 911 likes.","ICYMI: Our #IBCShowcase sessions are now available on demand. Tune in to learn how to optimize creative workflows, streamline content delivery, and deepen audience engagement: <hyperlink> <hyperlink>"
"As the social media manager for 'metro' (Twitter: @MNPDNashville), create a tweet using the following keywords: ['group', 'man', 'run', 'path', 'run']. Craft a message that aligns with our brand and is likely to receive at least 60 likes.","Our current class of police officer trainees out for a run today on the Hartman Park Greenway.  A lot more running to go between now and the class's April 4, 2019 graduation. <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['group', 'woman', 'singe', 'tent', 'singe']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",Petty Traders Benefit From SMEDAN Poverty Alleviation Grants <hyperlink> <hyperlink>
"As the social media manager for 'qatar airways' (Twitter: @qatarairways), create a tweet using the following keywords: ['group', 'people', 'pose', 'photo', 'soccer', 'goal', 'pose']. Craft a message that aligns with our brand and is likely to receive at least 34 likes.","Our mascots along with <mention> players came together to meet some of the heroic children from Qatar Cancer Society
<mention> <mention> <hyperlink>"
"As the social media manager for 'arm' (Twitter: @armnewsteam), create a tweet using the following keywords: ['arm', 'instrument']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",#ARM and #ASRnews are accepting proposals for a new site #science team for the third ARM Mobile Facility's upcoming move from Alaska to the southeastern United States | <hyperlink> <hyperlink>
"As the social media manager for 'williams' (Twitter: @PaulWilliamsLAB), create a tweet using the following keywords: ['man', 'scrub', 'sit', 'coffee', 'mug', 'word', 'thank', 'nhs', 'sit', 'thank']. Craft a message that aligns with our brand and is likely to receive at least 458 likes.","I’ve done 94 shifts in the local NHS during the CoViD -19 pandemic.

Things are starting to return to normal. Over the next few days I’ll be sharing some of my reflections on what I’ve learnt during this time. <hyperlink>"
"As the social media manager for 'independent' (Twitter: @TheIndyFilm), create a tweet using the following keywords: ['man', 'tuxedo', 'bow', 'tie', 'stand', 'red', 'carpet', 'bow', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 436 likes.",Gary Oldman wins Best Actor at the #BAFTAs <hyperlink> <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['polaris', 'bank', 'merge', 'lafarge', 'merge']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",More Customers Express Excitement Over Polaris Salary Advance <hyperlink> <hyperlink>
"As the social media manager for 'cisco' (Twitter: @ciscoDC), create a tweet using the following keywords: ['man', 'metal', 'suit', 'pour', 'molten', 'metal', 'furnace', 'pour']. Craft a message that aligns with our brand and is likely to receive at least 4 likes.",#Manufacturing leader NA Hoganas was able to move their work force remote in less than 24 hours giving their users on prem performance while keeping security at the highest level with Cisco #HyperFlex. Learn how in this blog: <hyperlink> <hyperlink>
"As the social media manager for 'oracle' (Twitter: @redbullracing), create a tweet using the following keywords: ['red', 'bull', 'racing', 'car', 'show', 'blue', 'light', 'show']. Craft a message that aligns with our brand and is likely to receive at least 3698 likes.",Congratulations <mention> on your 80th #F1 pole position 🥇💪 #PoweredByHonda <hyperlink>
"As the social media manager for 'blackberry' (Twitter: @BlackBerry), create a tweet using the following keywords: ['jaguar', 'xf', 'display', 'showroom']. Craft a message that aligns with our brand and is likely to receive at least 70 likes.","#BBWT19 The BlackBerry QNX (<mention>) Jaguar XJ demonstrates a vision for Digital Cockpits, ADAS and robust sensor frameworks while offering comprehensive layers of functional safety and security at each turn. More at #BBWT Frankfurt! <hyperlink>"
"As the social media manager for 'sabc' (Twitter: @METROFMSA), create a tweet using the following keywords: ['man', 'radio', 'studio', 'headphone']. Craft a message that aligns with our brand and is likely to receive at least 416 likes.","If your breakfast ain’t fresh then you ain’t eating right..
#FreshBreakfast 
.<mention> <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['bt', 'grammy']. Craft a message that aligns with our brand and is likely to receive at least 10718 likes.",K-pop sensations BTS used the #Grammys red carpet to showcase the work of South Korean designers <hyperlink> <hyperlink>
"As the social media manager for 'cameron' (Twitter: @cameronesposito), create a tweet using the following keywords: ['woman', 'hold', 'doll', 'scarecrow', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 365 likes.",She said “this scarecrow’s butt looks like ur butt” 🤷🎃 <hyperlink>
"As the social media manager for 'qatar airways' (Twitter: @qatarairways), create a tweet using the following keywords: ['cockpit', 'commercial', 'airplane', 'multiple', 'screen']. Craft a message that aligns with our brand and is likely to receive at least 111 likes.",We are ready to set full thrust on the third day of <mention>. #FIA18 <hyperlink>
"As the social media manager for 'cisco' (Twitter: @ciscomiddleeast), create a tweet using the following keywords: ['rendering', 'lobby', 'building']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",See how Felix Platter Hospital is making digital #healthcare happen now with #CiscoDNA and #CiscoSDA. <hyperlink> <hyperlink>
"As the social media manager for 'cisco' (Twitter: @CiscoChampion), create a tweet using the following keywords: ['cisco', 'champion', 'radio', 'podcast']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.",Easy-to-consume insights at your fingertips. Subscribe now to hear Cisco experts and #CiscoChampions discuss industry trends and the latest in Cisco technology. <hyperlink> <hyperlink>
"As the social media manager for 'wwf' (Twitter: @WWF), create a tweet using the following keywords: ['close', 'tiger', 'look', 'camera', 'look']. Craft a message that aligns with our brand and is likely to receive at least 908 likes.","It’s #InternationalTigerDay. Did you know there are only around 3,900 tigers left in the wild? We’re working to #doubletigers by 2022. Are you with us? #GlobalTigerDay 

<hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['china', 'president', 'xi', 'jinping', 'speak', 'news', 'conference', 'beijing', 'china', 'speak']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",President Xi Meets With IMF Chief <hyperlink> <hyperlink>
"As the social media manager for 'sabc' (Twitter: @SABC_Sport), create a tweet using the following keywords: ['france', 'vs', 'belgium', 'live', 'stream', 'tv', 'channel', 'kick', 'time', 'team', 'news', 'kick']. Craft a message that aligns with our brand and is likely to receive at least 157 likes.","#FRA are ready!
#BEL are ready!

The build up to #FRABEL is LIVE on <mention> at 19:00.

This is the FIFA #WorldCup #SABCKuzobalit ! <hyperlink>"
"As the social media manager for 'home depot' (Twitter: @HomeDepotFound), create a tweet using the following keywords: ['commitment', 'puerto', 'rico', 'earthquake', 'relief']. Craft a message that aligns with our brand and is likely to receive at least 247 likes.","As earthquake activity continues to rattle Puerto Rico, we are committing up to $250,000 in relief efforts.

📰 » <hyperlink> <hyperlink>"
"As the social media manager for 'free' (Twitter: @hkfp), create a tweet using the following keywords: ['hong', 'kong', 'police', 'officer', 'stand', 'guard', 'metro', 'station', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 81 likes.","Three arrests were reportedly made in the Central footbridge outside Exchange Square stormed by riot police.

Photo: InMedia. #hongkong <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @cnnphilippines), create a tweet using the following keywords: ['boat', 'people', 'water']. Craft a message that aligns with our brand and is likely to receive at least 545 likes.","LOOK: Baguio City's popular Swan Boats reach typhoon-hit Amulong, Cagayan. The boats, now used as transportation for residents in Barangays Anquiray and Abollo, were lent by owners Osorio and Elvira Celso for rescue efforts in affected areas.

📸 PNP Cordillera <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['group', 'young', 'people', 'pose', 'photo', 'pose']. Craft a message that aligns with our brand and is likely to receive at least 13665 likes.","JUST IN: 12 teenage boys trapped with their soccer coach in caves for nine days in northern Thailand have been found alive, Thai official says <hyperlink> <hyperlink>"
"As the social media manager for 'aa' (Twitter: @aaroadwatch), create a tweet using the following keywords: ['meet', 'eireann', 'wind', 'rain', 'warning', 'meet']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.","Extra care is required on the roads this morning - rainfall warnings have been in place since last night, with a wind warning valid for 9 counties from 6am. 🌧

Keep back from other road users and reduce your speed: <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['bald', 'man', 'wear', 'glass', 'sit', 'couch', 'wear', 'sit']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Sanction Senators Backing Social Media Bill, Timi Frank Urges Diplomatic Community <hyperlink> <hyperlink>"
"As the social media manager for 'emerson' (Twitter: @SmallBizLady), create a tweet using the following keywords: ['boss', 'webclass', 'become']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",Ate you looking to start a business? I can help you live the #BossLife in 2019! Join me tonight at 8pm ET for my new Web Class How to Become Your Own Boss. Sign-up today <hyperlink> <hyperlink>
"As the social media manager for 'coty' (Twitter: @CotyDavis_24), create a tweet using the following keywords: ['man', 'play', 'basketball', 'court', 'play']. Craft a message that aligns with our brand and is likely to receive at least 103 likes.","Tyson Chandler and Isaiah Hartenstein working out together in practice today. Per D'Antoni, Chandler to start and Hartenstein may get some minutes in the absence of Clint Capela. #Rockets <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @ciscoapac), create a tweet using the following keywords: ['group', 'people', 'pose', 'photo', 'office', 'pose']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Want to know how Cisco’s culture won over our Engineer employee? Read <mention> #WeAreCisco journal as he shares his top 5 Cisco moments and how he was energized by the learning, vision, and people. <hyperlink>  #lovewhereyouwork #culture <hyperlink>"
"As the social media manager for 'aaa' (Twitter: @AAA_Travel), create a tweet using the following keywords: ['good', 'western', 'gift', 'card']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Best Western Rewards® members who register and stay between 9/14 &amp; 11/23/2020 at any Best Western® branded hotel in the United States, Canada or the Caribbean will get one $25 Best Western Gift card each night. Restrictions apply.
<hyperlink> #AAA #HotelDeal <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['group', 'man', 'red', 'shirt', 'stand', 'soccer', 'ball', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Predicted Arsenal Line-Up VS Eintracht Frankfurt <hyperlink> <hyperlink>
"As the social media manager for 'home depot' (Twitter: @HomeDepot), create a tweet using the following keywords: ['dog', 'lay', 'dog', 'bed', 'concrete', 'patio', 'lay']. Craft a message that aligns with our brand and is likely to receive at least 116 likes.",Echo the boxer needed some extra help to get around. His story will make you smile. <hyperlink> <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['president', 'donald', 'trump', 'see', 'photo', 'see']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Trump Replaces White House Chief Of Staff With Mark Meadows <hyperlink> <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'wear', 'red', 'hat', 'blue', 'shirt', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Diri Condoles With Murray- Bruce, Family Over Wife’s Death <hyperlink> <hyperlink>"
